Currency,Date,Closing Price (USD),% Change,,,,Date,Cum Cases,Cum Deaths,%Change Cases,%Change Deaths,,,,,,,
BSV,15/01/2020,323.7429323,-15%,,,,,,,,,,,,,,,
BSV,16/01/2020,318.1900301,-2%,,,,,,,,,,,,,,,
BSV,17/01/2020,291.2356111,-8%,,,,,,,,,,,,,,,
BSV,18/01/2020,253.6290361,-13%,,,,,,,,,,,,,,,
BSV,19/01/2020,265.6366909,5%,,,,,,,,,,,,,,,
BSV,20/01/2020,314.0675388,18%,,,,,,,,,,,,,,,
BSV,21/01/2020,316.2135436,1%,,,,,,,,,,,,,,,
BSV,22/01/2020,302.6517547,-4%,,,,,,,,,,,,,,,
BSV,23/01/2020,257.9805537,-15%,,,,,,,,,,,,,,,
BSV,24/01/2020,265.5880799,3%,,,,,,,,,,,,,,,
BSV,25/01/2020,259.1655714,-2%,,,,,,,,,,,,,,,
BSV,26/01/2020,273.5022733,6%,,,,,,,,,,,,,,,
BSV,27/01/2020,295.0946488,8%,,,,,,,,,,,,,,,
BSV,28/01/2020,291.5764303,-1%,,,,,,,,,,,,,,,
BSV,29/01/2020,294.9777459,1%,,,,,,,,,,,,,,,
BSV,30/01/2020,299.2513102,1%,,,,,,,,,,,,,,,
BSV,31/01/2020,277.1898543,-7%,,,,,,,,,,,,,,,
BSV,01/02/2020,280.7176926,1%,,,,,,,,,,,,,,,
BSV,02/02/2020,280.9883391,0%,,,,,,,,,,,,,,,
BSV,03/02/2020,277.8996065,-1%,,,,,,,,,,,,,,,
BSV,04/02/2020,271.1528733,-2%,,,,,,,,,,,,,,,
BSV,05/02/2020,293.8885606,8%,,,,,,,,,,,,,,,
BSV,06/02/2020,291.6671176,-1%,,,,,,,,,,,,,,,
BSV,07/02/2020,293.4614224,1%,,,,,,,,,,,,,,,
BSV,08/02/2020,337.4551467,15%,,,,,,,,,,,,,,,
BSV,09/02/2020,348.0968516,3%,,,,,,,,,,,,,,,
BSV,10/02/2020,354.2324358,2%,,,,,,,,,,,,,,,
BSV,11/02/2020,368.0877834,4%,,,,,,,,,,,,,,,
BSV,12/02/2020,368.7609829,0%,,,,,,,,,,,,,,,
BSV,13/02/2020,358.7030776,-3%,,,,,,,,,,,,,,,
BSV,14/02/2020,362.0550702,1%,,,,,,,,,,,,,,,
BSV,15/02/2020,315.2527923,-13%,,,,,,,,,,,,,,,
BSV,16/02/2020,283.5201641,-10%,,,,,,,,,,,,,,,
BSV,17/02/2020,302.8176059,7%,,,,,,,,,,,,,,,
BSV,18/02/2020,313.5655563,4%,,,,,,,,,,,,,,,
BSV,19/02/2020,299.0402458,-5%,,,,,,,,,,,,,,,
BSV,20/02/2020,286.5682948,-4%,,,,,,,,,,,,,,,
BSV,21/02/2020,288.6296665,1%,,,,,,,,,,,,,,,
BSV,22/02/2020,280.7819516,-3%,,,,,,,,,,,,,,,
BSV,23/02/2020,293.2674143,4%,,,,,,,,,,,,,,,
BSV,24/02/2020,273.9769772,-7%,,,,,,,,,,,,,,,
BSV,25/02/2020,263.5218795,-4%,,,,,,,,,,,,,,,
BSV,26/02/2020,226.0360838,-14%,,,,,,,,,,,,,,,
BSV,27/02/2020,225.7712868,0%,,,,,,,,,,,,,,,
BSV,28/02/2020,219.3420648,-3%,,,,,,,,,,,,,,,
BSV,29/02/2020,214.8368479,-2%,,,,,,,,,,,,,,,
BSV,01/03/2020,228.6278542,6%,,,,,,,,,,,,,,,
BSV,02/03/2020,254.8546639,11%,,,,,,,,,,,,,,,
BSV,03/03/2020,249.131971,-2%,,,,,,,,,,,,,,,
BSV,04/03/2020,231.1943405,-7%,,,,,,,,,,,,,,,
BSV,05/03/2020,241.3602515,4%,,,,,,,,,,,,,,,
BSV,06/03/2020,245.6669081,2%,,,,,,,,,,,,,,,
BSV,07/03/2020,236.4746363,-4%,,,,,,,,,,,,,,,
BSV,08/03/2020,198.1823448,-16%,,,,,,,,,,,,,,,
BSV,09/03/2020,198.0939553,0%,,,,,,,,,,,,,,,
BSV,10/03/2020,199.7637694,1%,,,,,,,,,,,,,,,
BSV,11/03/2020,194.121441,-3%,,,,,,,,,,,,,,,
BSV,12/03/2020,122.265387,-37%,,,,,,,,,,,,,,,
BSV,13/03/2020,123.4719993,1%,,,,,,,,,,,,,,,
BSV,14/03/2020,116.9574972,-5%,,,,,,,,,,,,,,,
BSV,15/03/2020,122.3746948,5%,,,,,,,,,,,,,,,
BSV,16/03/2020,110.4393596,-10%,,,,,,,,,,,,,,,
BSV,17/03/2020,123.1419945,12%,,,,,,,,,,,,,,,
BSV,18/03/2020,117.2620035,-5%,,,,,,,,,,,,,,,
BSV,19/03/2020,162.0630213,38%,,,,,,,,,,,,,,,
BSV,20/03/2020,157.0507792,-3%,,,,,,,,,,,,,,,
BSV,21/03/2020,168.8116272,7%,,,,,,,,,,,,,,,
BSV,22/03/2020,160.1365225,-5%,,,,,,,,,,,,,,,
BSV,23/03/2020,166.39233,4%,,,,,,,,,,,,,,,
BSV,24/03/2020,178.4597215,7%,,,,,,,,,,,,,,,
BSV,25/03/2020,173.132697,-3%,,,,,,,,,,,,,,,
BSV,26/03/2020,171.4141218,-1%,,,,,,,,,,,,,,,
BSV,27/03/2020,171.6237973,0%,,,,,,,,,,,,,,,
BSV,28/03/2020,156.4933846,-9%,,,,,,,,,,,,,,,
BSV,30/03/2020,149.0853623,-5%,,,,,,,,,,,,,,,
BSV,31/03/2020,167.4637761,12%,,,,,,,,,,,,,,,
BSV,01/04/2020,166.1470609,-1%,,,,,,,,,,,,,,,
BSV,02/04/2020,166.8292266,0%,,,,,,,,,,,,,,,
BSV,03/04/2020,178.9934215,7%,,,,,,,,,,,,,,,
BSV,04/04/2020,179.4699173,0%,,,,,,,,,,,,,,,
BSV,05/04/2020,179.6446612,0%,,,,,,,,,,,,,,,
